#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
d	3	300	SAEful02	Fuel Used, liquid	0.001 l/bit	0 to 4,211,081.215 l	0	4 bytes	8/4/2016
d	1	19	SAEfv01	Flow rate, volumetric	0.1 m³/h per bit	0 to 6425.5 m³/h	0	2 bytes	
int	u	121	SAEgf01	Group Function	1 count/bit	0 to 255	0	1 byte	
d	1	22	SAEgg01	Governor gain	1/1280 %/rpm per bit	0 to 50.2 %/rpm	0	2 bytes	4/30/2014
d	2	23	SAEgr01	Gear Ratio	0.01 per bit	0 to 642.55	0	2 bytes	
int	d	24	SAEgv01	Gear Value	1 gear value/bit	-125 to 125	-125	1 byte	
int	u	101	SAEgv02	Gear Value	1 gear value/bit	0 to 250	0	1 byte	8/2/1999
int	u	25	SAEid01	Identifier,component/software	1 ID/bit	0 to 250	0	1 byte	8/4/2016
int	u	325	SAEid02	Identifier,component/software	1 ID/bit	0 to 16449635	0	3 bytes	2/3/2011
int	u	373	SAEid03	Identifier,component/software	1 ID/bit	0 to 64255	0	2 bytes	8/9/2012
d	2	112	SAEie01	Inertia	0.004 kg•m²/bit	0 to 257.02 kg•m²	0	2 bytes	8/7/2014
d	1	204	SAEio01	Intensity, optical	0.4 mW/cm² per bit	0 to 100 mW/cm²	0	1 byte	5/12/2011
int	u	26	SAEkv01	Kinematic viscosity	1 mm²/s per bit	0 to 250 mm²/s	0	1 byte	
d	1	297	SAElg01	Lambda signal gain	0.5 %/bar per bit	0 to 125 %/bar	0	1 byte	2/20/2008
int	u	286	SAEma01	Mass	4 g/bit	0 to 1000 g	0	1 byte	11/15/2007
int	u	28	SAEma02	Mass	2 kg/bit	0 to 128,510 kg	0	2 bytes	11/19/2009
int	u	29	SAEma03	Mass	10 kg/bit	0 to 642,550 kg	0	2 bytes	11/19/2009
d	2	226	SAEma04	Mass	0.10 kg/bit	0 to 6425.5 kg	0	2 bytes	11/19/2009
d	2	227	SAEma05	Mass	0.10 g/bit	0 to 6425.5 g	0	2 bytes	11/19/2009
int	u	122	SAEma06	Mass	2 kg/bit	0 to 32,899,070 kg	0	3 bytes	11/19/2009
int	d	267	SAEma07	Mass	2 kg/bit	-16,449,535 to 16,449,535 kg	-16,449,535 kg	3 bytes	11/19/2009
int	u	356	SAEma09	Mass	10 mg/bit	0 to 642550 mg	0	2 bytes	5/17/2012
d	6	363	SAEma10	Mass	1/64 g/bit	0 to 1003.984375 g	0	2 bytes	8/9/2012
d	1	27	SAEma11	Mass	0.5 kg/bit	0 to 32,127.5 kg	0	2 bytes	11/19/2009
int	u	412	SAEma12	Mass	100 kg/bit	0 to 421,108,121,500 kg	0	4 bytes	11/13/2014
d	3	415	SAEma13	Mass	0.001 g/bit	0 to 64.255 g	0	2 bytes	2/19/2015
int	u	283	SAEmd01	Manufacturer defined	0 to 255 per byte	manufacturer defined	0 manufacturer defined	Variable	
d	4	337	SAEms01	Mass Concentration	0.0125 mg/m³ per bit	0 to 803.1875 mg/m³	0	2 bytes	2/6/2011
int	u	159	SAEnm01	Name (long)	1 count/bit	0 to (2^64 - 1)	0	8 bytes	11/8/2000
